make,",year",",model",",cc (size)",",trade-in value",",suggested retail value"
suzuki,2010,GZ250,250,1520,2265
suzuki,2011,M109R,1783,6770,9645
suzuki,2011,M109R Limited Edition,1783,6810,9705
suzuki,2011,S40,652,2480,3635
suzuki,2011,TU250,250,2025,2990
honda,1980,C70 Passport,72,810,1430
honda,1980,CB125S,124,775,1510
honda,1980,CB400T Hawk,400,805,1275
honda,1980,CB650,650,910,1425
honda,1980,CB650C Custom 650,650,965,1500
honda,1980,CB750C Custom 750,750,955,1485
honda,1980,CB750F Super Sport 750,750,1085,2020
honda,1980,CB750K 750 Four,750,1175,1990
honda,1980,CB900C Custom 900,900,1310,2200
honda,1980,CM200T Twinstar,194,380,700
honda,1980,CM400A Hondamatic 400,400,930,1610
honda,1980,CM400E,400,575,970
honda,1980,CM400T,400,740,1190
honda,1980,CX500C Custom 500,500,855,1350
honda,1980,CX500D Deluxe 500,500,855,1350
honda,1981,C70 Passport,72,820,1445
honda,1981,CB125S,124,785,1525
honda,1981,CB400T Hawk,400,820,1300
honda,1981,CB650,650,920,1435
honda,1981,CB650C Custom 650,650,1010,1560
honda,1981,CB750C Custom 750,750,1010,1560
honda,1981,CB750F Super Sport,750,1110,2065
honda,1981,CB750K 750 Four,750,1210,2045
honda,1981,CB900C Custom 900,900,1335,2240
honda,1981,CB900F Super Sport 900,900,1355,2270
honda,1981,CM200T Twinstar,194,405,740
honda,1981,CM400A Hondamatic 400,400,965,1670
honda,1981,CM400C Custom 400,400,630,1045
honda,1981,CM400E,400,605,1005
honda,1981,CM400T,400,760,1215
honda,1981,CX500C Custom 500,500,885,1385
honda,1981,CX500D Deluxe 500,500,885,1385
honda,1981,GL500 Silverwing,500,975,1510
honda,1982,C70 Passport,72,830,1460
honda,1982,CB125S,124,795,1540
honda,1982,CB450SC Nighthawk 450,450,685,1115
honda,1982,CB450T Hawk,450,575,965
honda,1982,CB650,650,930,1450
honda,1982,CB650SC Nighthawk 650,650,1140,1740
honda,1982,CB750C Custom 750,750,1130,1730
honda,1982,CB750F Super Sport,750,1155,2140
honda,1982,CB750K 750 Four,750,1245,2100
honda,1982,CB750SC Nighthawk 750,750,720,1165
honda,1982,CB900C Custom 900,900,1365,2285
honda,1982,CB900F Super Sport 900,900,1380,2310
honda,1982,CM200T Twinstar,194,440,790
honda,1982,CM250C Custom 250,250,685,1115
honda,1982,CM450A Hondamatic 450,450,775,1510
honda,1982,CM450C Custom 450,450,715,1405
honda,1982,CM450E,450,695,1375
honda,1982,CX500C Custom 500,500,920,1435
honda,1982,CX500T Turbo,500,2265,3325
honda,1982,CX500TC Turbo,500,2265,3325
honda,1982,FT500 Ascot,500,810,1430
honda,1982,GL500 Silverwing,500,1030,1590
honda,1982,MB5,49,830,1310
honda,1982,VF750C Magna V45,750,940,1460
honda,1982,VF750S Sabre V45,750,850,1335
honda,1983,C70 Passport,72,840,1470
honda,1983,CB1000C Custom 1000,1000,1310,2630
honda,1983,CB1100F Super Sport 1100,1100,2145,3155
honda,1983,CB450SC Nighthawk 450,450,715,1155
honda,1983,CB550SC Nighthawk 550,550,1010,1560
honda,1983,CB650SC Nighthawk 650,650,1245,1895
honda,1983,CB750SC Nighthawk 750,750,740,1190
honda,1983,CM250C Custom 250,250,705,1140
honda,1983,CM450A Hondamatic 450,450,850,1630
honda,1983,CM450E,450,740,1450
honda,1983,CX650C Custom 650,650,1320,1995
honda,1983,CX650T Turbo,650,2225,3910
honda,1983,FT500 Ascot 1-Cylinder,500,840,1470
honda,1983,GL650 Silverwing,650,1065,1640
honda,1983,VF1100C Magna V65,1100,1625,2690
honda,1983,VF750C Magna V45,750,965,1500
honda,1983,VF750S Sabre V45,750,875,1375
honda,1983,VT500C Shadow 500,500,740,1320
honda,1983,VT500FT Ascot 2-Cylinder,500,1045,1615
honda,1983,VT750C Shadow 750,750,1030,1590
honda,1984,CB125S,124,805,1555
honda,1984,CB650SC Nighthawk 650,650,1175,1790
honda,1984,CB700SC Nighthawk 700 S,700,1120,1715
honda,1984,VF1100C Magna V65,1100,1655,2730
honda,1984,VF1100S Sabre V65,1100,1310,1980
honda,1984,VF500C Magna V30 (49-State),500,630,1270
honda,1984,VF500CL Magna V30 (California),500,630,1270
honda,1984,VF700C Magna 700,700,1155,1765
honda,1984,VF700S Sabre 700,700,730,1180
honda,1984,VT500C Shadow 500,500,760,1345
honda,1984,VT500FT Ascot,500,1065,1640
honda,1984,VT700C Shadow 700,700,975,1510
honda,1985,CB125S,124,810,1570
honda,1985,CB450SC Nighthawk 450,450,760,1215
honda,1985,CB650SC Nighthawk 650,650,1220,1855
honda,1985,CB700SC Nighthawk 700 S,700,1175,1790
honda,1985,CMX250C Rebel 250 (49-State),250,765,1225
honda,1985,CMX250CL Rebel 250 (California),250,765,1225
honda,1985,VF1100C Magna V65,1100,1700,2800
honda,1985,VF1100S Sabre V65,1100,1400,2100
honda,1985,VF500C Magna V30,500,650,1300
honda,1985,VF700C Magna 700,700,1175,1790
honda,1985,VF700S Sabre 700,700,775,1240
honda,1985,VT1100C Shadow 1100,1100,1445,2165
honda,1985,VT500C Shadow 500,500,775,1375
honda,1985,VT700C Shadow 700,700,1000,1550
honda,1986,CB450SC Nighthawk 450,450,795,1265
honda,1986,CB700SC Nighthawk 700 S,700,1230,1865
honda,1986,CMX250C Rebel 250,250,785,1250
honda,1986,CMX250CD Rebel 250 Limited,250,1085,1850
honda,1986,CMX450C Rebel 450 (49-State),450,1190,1815
honda,1986,CMX450CL Rebel 450 (California),450,1190,1815
honda,1986,VF1100C Magna V65,1100,1745,2870
honda,1986,VF700C Magna 700,700,1190,1815
honda,1986,VT1100C Shadow 1100,1100,1475,2205
honda,1986,VT500C Shadow 500,500,795,1400
honda,1986,VT700C Shadow 700,700,1040,1600
honda,1987,CMX250C Rebel 250,250,810,1290
honda,1987,CMX450C Rebel 450,450,1210,1840
honda,1987,VF700C Magna 700,700,1210,1840
honda,1987,VT1100C Shadow 1100,1100,1500,2240
honda,1987,VT700C Shadow 700,700,1130,1730
honda,1988,NT650 Hawk GT,650,1235,2275
honda,1988,VF750C Magna 750,750,1925,2850
honda,1988,VT1100C Shadow 1100,1100,1535,2295
honda,1988,VT600C Shadow VLX,600,1055,1625
honda,1988,VT800 Shadow 800,800,1275,1930
honda,1988,VTR250 Interceptor VTR (49-State),250,920,1435
honda,1988,VTR250L Interceptor VTR (California),250,920,1435
honda,1989,CB400F CB1,400,1390,2085
honda,1989,GB500 Tourist Trophy (49-State),500,2765,4795
honda,1989,GB500L Tourist Trophy (California),500,2765,4795
honda,1989,NT650 Hawk GT,650,1255,2305
honda,1989,PC800 Pacific Coast,800,1745,3115
honda,1989,VT1100C Shadow 1100,1100,1575,2345
honda,1989,VT600C Shadow VLX,600,1065,1640
honda,1989,VT600CL Shadow VLX,600,1065,1640
honda,1989,VTR250,250,950,1475
honda,1990,CB400F CB1,400,1445,2165
honda,1990,GB500 Tourist Trophy (49-State),500,2810,4870
honda,1990,GB500L Tourist Trophy (California),500,2810,4870
honda,1990,NT650 Hawk GT,650,1265,2320
honda,1990,PC800 Pacific Coast,800,1765,3145
honda,1990,VT1100C Shadow 1100,1100,1590,2370
honda,1990,VTR250,250,995,1535
honda,1991,CB250L Nighthawk 250 (California),250,630,1045
honda,1991,CB750 Nighthawk 750,750,1055,1625
honda,1991,NT650 Hawk GT,650,1275,2335
honda,1991,VT600C Shadow VLX,600,1075,1650
honda,1992,CB250 Nighthawk 250,250,665,1095
honda,1992,CB750 Nighthawk 750,750,1100,1690
honda,1992,VT1100C Shadow 1100,1100,1610,2395
honda,1992,VT600C Shadow VLX,600,1095,1675
honda,1993,CB250 Nighthawk 250,250,675,1105
honda,1993,CB750 Nighthawk 750,750,1175,1790
honda,1993,VT1100CL Shadow 1100,1100,1620,2410
honda,1993,VT600C Shadow VLX,600,1100,1690
honda,1993,VT600CD Shadow VLX Deluxe,600,1110,1700
honda,1994,CB1000,1000,1525,2280
honda,1994,CB250 Nighthawk 250,250,680,1110
honda,1994,PC800 Pacific Coast,800,1880,2785
honda,1994,VF750C Magna,750,1565,2330
honda,1994,VT1100CL Shadow 1100,1100,1655,2460
honda,1994,VT600C Shadow VLX,600,1110,1700
honda,1994,VT600CD Shadow VLX Deluxe,600,1130,1730
honda,1995,CB1000,1000,1620,2410
honda,1995,CB250 Nighthawk 250,250,685,1115
honda,1995,CB750 Nighthawk 750,750,1155,1765
honda,1995,PC800 Pacific Coast,800,1935,2860
honda,1995,VF750C Magna,750,1590,2370
honda,1995,VF750CD Magna Deluxe,750,1680,2500
honda,1995,VT1100 Shadow 1100,1100,1710,2540
honda,1995,VT11A Shadow 1100 American Classic Edition,1100,1770,2630
honda,1995,VT600CD Shadow VLX Deluxe,600,1165,1780
honda,1996,CB250 Nighthawk 250,250,695,1130
honda,1996,CB750 Nighthawk 750,750,1175,1790
honda,1996,CMX250C Rebel,250,995,1535
honda,1996,PC800 Pacific Coast,800,2010,2965
honda,1996,VF750C Magna,750,1620,2410
honda,1996,VF750CD Magna Deluxe,750,1710,2540
honda,1996,VT1100A1 Shadow 1100 American Classic Edition,1100,1825,2705
honda,1996,VT1100B Shadow 1100,1100,1765,2615
honda,1996,VT1100C1 Shadow 1100 Spirit,1100,1320,1995
honda,1996,VT600C Shadow VLX,600,1185,1805
honda,1996,VT600CD Shadow VLX Deluxe,600,1200,1830
honda,1997,CB750 Nighthawk 750,750,1210,1840
honda,1997,CMX250C Rebel TT,250,1000,1550
honda,1997,PC800 Pacific Coast,800,2090,3080
honda,1997,VF750C Magna,750,1645,2450
honda,1997,VT1100C1 Shadow 1100 Spirit,1100,1365,2050
honda,1997,VT1100C2 Shadow 1100 American Classic Edition,1100,1890,2795
honda,1997,VT600C Shadow VLX,600,1220,1855
honda,1998,CB750 Nighthawk 750,750,1265,1920
honda,1998,CMX250C Rebel,250,1020,1575
honda,1998,PC800 Pacific Coast,800,2170,3195
honda,1998,VF750C Magna,750,1690,2510
honda,1998,VFR800F1 Interceptor,800,1680,2500
honda,1998,VT1100C1 Shadow 1100 Spirit,1100,1420,2125
honda,1998,VT1100C2 Shadow 1100 ACE,1100,1965,2900
honda,1998,VT1100C3L Shadow 1100 Aero,1100,2010,2965
honda,1998,VT1100CT Shadow 1100 ACE Tour,1100,2225,3275
honda,1998,VT600CD Shadow VLX Deluxe,600,1300,1970
honda,1998,VT750C Shadow 750 ACE,750,1655,2460
honda,1998,VT750CD Shadow 750 ACE Deluxe,750,1680,2500
honda,1999,CB250 Nighthawk 250,250,710,1150
honda,1999,CB750 Nighthawk 750,750,1345,2030
honda,1999,CMX250C Rebel,250,1030,1590
honda,1999,VF750C Magna,750,1770,2630
honda,1999,VFR800F1 Interceptor,800,1825,2705
honda,1999,VT1100C Shadow 1100 Spirit,1100,1480,2215
honda,1999,VT1100C2 Shadow 1100 ACE,1100,2055,3030
honda,1999,VT1100C3 Shadow 1100 Aero,1100,2090,3080
honda,1999,VT1100T Shadow 1100 ACE Tour,1100,2325,3415
honda,1999,VT600C Shadow VLX,600,1335,2020
honda,1999,VT600CD Shadow VLX Deluxe,600,1365,2050
honda,1999,VT750C Shadow 750 ACE,750,1720,2550
honda,1999,VT750CD Shadow 750 ACE Deluxe,750,1745,2590
honda,1999,VTR1000F Super Hawk,1000,1610,2395
honda,2000,CB250 Nighthawk 250,250,715,1160
honda,2000,CB750 Nighthawk 750,750,1435,2150
honda,2000,CMX250C Rebel,250,1040,1600
honda,2000,VF750C Magna,750,1870,2770
honda,2000,VF750C2 Magna Deluxe,750,1965,2900
honda,2000,VFR800F1 Interceptor,800,2000,2950
honda,2000,VT1100C Shadow 1100 Spirit,1100,1610,2395
honda,2000,VT1100C2 Shadow 1100 Sabre,1100,1865,2755
honda,2000,VT1100C3 Shadow 1100 Aero,1100,2300,3375
honda,2000,VT1100T Shadow 1100 ACE Tour,1100,2535,3710
honda,2000,VT600C Shadow VLX,600,1410,2110
honda,2000,VT600CD Shadow VLX Deluxe,600,1435,2150
honda,2000,VT750C Shadow 750 ACE,750,1770,2630
honda,2000,VT750CD Shadow 750 ACE Deluxe,750,1800,2665
honda,2000,VTR1000F Super Hawk,1000,1755,2605
honda,2001,CB250 Nighthawk 250,250,765,1225
honda,2001,CB750 Nighthawk 750,750,1525,2280
honda,2001,CMX250C Rebel,250,1055,1625
honda,2001,VF750C Magna,750,1970,2910
honda,2001,VFR800F1 Interceptor,800,2190,3220
honda,2001,VT1100C Shadow 1100 Spirit,1100,1755,2605
honda,2001,VT1100C2 Shadow 1100 Sabre,1100,1925,2850
honda,2001,VT1100C3 Shadow 1100 Aero,1100,2490,3650
honda,2001,VT1100T Shadow 1100 ACE Tour,1100,2740,4000
honda,2001,VT600C Shadow VLX,600,1490,2230
honda,2001,VT600CD Shadow VLX Deluxe,600,1520,2265
honda,2001,VT750CD Shadow 750 ,,,
